"ngram","freq"
"the ",439623
"to ",287741
"and ",238007
"a ",234725
"i ",222346
"of ",193961
"in ",153125
"you ",127107
"is ",121992
"for ",115924
"that ",107657
"it ",104987
"on ",85622
"my ",84147
"with ",72063
"this ",64337
"was ",61809
"be ",60800
"have ",59695
"at ",56090
"are ",54092
"me ",50669
"but ",50428
"so ",49630
"we ",48469
"as ",46428
"not ",45662
"your ",41317
"all ",40419
"just ",37995
"from ",36224
"its ",36094
"out ",33950
"im ",33700
"like ",33426
"up ",33390
"what ",33193
"or ",32592
"if ",32551
"they ",32380
"he ",32188
"will ",32071
"about ",31879
"one ",31810
"do ",30311
"by ",28581
"can ",28496
"when ",28477
"get ",28101
"an ",27888
"time ",24776
"more ",24212
"there ",23541
"had ",23116
"some ",22880
"his ",22839
"our ",22720
"love ",22429
"good ",22351
"dont ",22291
"has ",22143
"who ",22096
"no ",21895
"how ",21721
"now ",21546
"her ",21530
"day ",21388
"know ",21067
"would ",20798
"were ",20510
"new ",19156
"been ",19041
"their ",18915
"she ",18709
"them ",18109
"see ",17647
"go ",17319
"people ",17140
"back ",16377
"great ",16136
"us ",15987
"think ",15562
" ",14972
"make ",14955
"am ",14933
"going ",14681
"well ",14551
"really ",14540
"too ",14432
"today ",14245
"then ",14228
"thanks ",14176
"only ",14058
"much ",14056
"got ",13363
"rt ",13245
"than ",13084
"want ",13075
"into ",13034
"first ",12933
"which ",12822
"way ",12822
"over ",12712
"because ",12341
"need ",12284
"right ",12064
"here ",12052
"work ",12024
"did ",12022
"even ",12019
"other ",11936
"him ",11819
"u ",11751
"last ",11618
"still ",11590
"cant ",11514
"also ",11503
"very ",11210
"could ",11156
"after ",11078
"said ",11013
"life ",10847
"off ",10791
"lol ",10395
"any ",10175
"where ",10164
"come ",10083
"thats ",9988
"little ",9929
"should ",9918
"never ",9842
"say ",9777
"these ",9628
"why ",9597
"year ",9513
"being ",9488
"down ",9472
"take ",9392
"happy ",9290
"many ",9283
"two ",9216
"most ",9177
"best ",9072
"things ",9067
"night ",8933
"those ",8866
"ive ",8682
"something ",8639
"always ",8545
"made ",8536
"next ",8529
"before ",8521
"week ",8204
"youre ",8151
"may ",7914
"look ",7899
"years ",7892
"follow ",7880
"home ",7856
"better ",7737
"hope ",7620
"didnt ",7593
"while ",7573
"through ",7466
"feel ",7430
"every ",7378
"again ",7333
"world ",7315
"ill ",7264
"around ",7251
"sure ",7238
"show ",7220
"tonight ",7143
"thank ",7129
"– ",7000
"thing ",6907
"another ",6842
"long ",6819
"man ",6734
"big ",6727
"ever ",6723
"find ",6599
"few ",6539
"getting ",6531
"same ",6454
"let ",6334
"oh ",6255
"use ",6206
"game ",6193
"keep ",6105
"does ",6105
"looking ",6091
"school ",6089
"book ",6069
"please ",6047
"help ",5977
"doing ",5975
"everyone ",5922
"own ",5897
"days ",5850
"yes ",5819
"fun ",5728
"give ",5723
"god ",5692
"old ",5685
"since ",5590
"morning ",5557
"thought ",5500
"put ",5489
"such ",5484
"lot ",5464
"though ",5453
"someone ",5406
"tell ",5364
"friends ",5347
"place ",5343
"until ",5261
"wait ",5182
"away ",5166
"done ",5164
"part ",5016
"each ",5015
"house ",5006
"both ",4989
"used ",4950
"nice ",4939
"bad ",4939
"pretty ",4928
"end ",4926
"free ",4922
"start ",4921
"having ",4894
"might ",4893
"th ",4854
"read ",4853
"live ",4851
"twitter ",4832
"family ",4830
"tomorrow ",4821
"doesnt ",4759
"hard ",4649
"try ",4645
"without ",4596
"music ",4596
"call ",4578
"real ",4568
"weekend ",4545
"yet ",4535
"went ",4522
"actually ",4446
"awesome ",4431
"coming ",4393
"play ",4348
"makes ",4334
"already ",4299
"must ",4291
"soon ",4290
"making ",4288
"stop ",4256
"enough ",4248
"maybe ",4244
"everything ",4237
"found ",4222
"working ",4204
"check ",4197
"hey ",4182
"left ",4139
"d ",4121
"anything ",4121
"times ",4092
"trying ",4086
"amazing ",4086
"myself ",4080
"id ",4076
"story ",4061
"haha ",4031
"once ",4025
"nothing ",4017
"came ",3969
"girl ",3961
"guys ",3956
"pm ",3919
"bit ",3912
"anyone ",3898
"watching ",3894
"hes ",3885
"person ",3882
"kids ",3878
"different ",3862
"talk ",3862
"food ",3810
"three ",3808
"post ",3803
"job ",3794
"lets ",3788
"whats ",3767
"name ",3767
"believe ",3759
"yeah ",3758
"ready ",3745
"far ",3720
"set ",3712
"gonna ",3701
"wish ",3673
"miss ",3668
"friend ",3667
"theres ",3657
"s ",3655
"head ",3633
"watch ",3623
"high ",3621
"together ",3618
"money ",3616
"point ",3597
"hear ",3567
"blog ",3567
"between ",3563
"course ",3548
"remember ",3540
"beautiful ",3535
"took ",3529
"team ",3527
"city ",3523
"started ",3498
"least ",3497
"saw ",3495
"says ",3466
"told ",3463
"during ",3458
"room ",3453
"cool ",3446
"hate ",3431
"change ",3431
"mean ",3428
"top ",3424
"kind ",3380
"wanted ",3369
"run ",3349
"whole ",3349
"party ",3326
"true ",3306
"almost ",3304
"isnt ",3289
"mind ",3284
"favorite ",3269
"open ",3235
"called ",3233
"idea ",3219
"win ",3217
"friday ",3216
"finally ",3207
"probably ",3203
"“ ",3196
"state ",3180
"heart ",3164
"birthday ",3155
"excited ",3118
"else ",3112
"st ",3108
"white ",3090
"forward ",3081
"full ",3078
"hours ",3078
"able ",3076
"seen ",3069
"looks ",3008
"following ",2983
"care ",2980
"movie ",2980
"wont ",2975
"less ",2973
"black ",2970
"baby ",2959
"small ",2958
"tweet ",2957
"word ",2956
"fact ",2946
"stuff ",2944
"song ",2931
"under ",2917
"against ",2914
"class ",2905
"thinking ",2903
"guy ",2903
"business ",2903
"using ",2903
"shit ",2902
"weeks ",2901
"stay ",2894
"water ",2891
"wasnt ",2890
"early ",2886
"w ",2876
"minutes ",2872
"ask ",2871
"face ",2862
"side ",2861
"others ",2860
"season ",2858
"sometimes ",2853
"news ",2847
"ago ",2845
"later ",2842
"support ",2836
"children ",2835
"past ",2833
"taking ",2828
"second ",2823
"sorry ",2795
"reading ",2769
"hit ",2757
"quite ",2745
"ok ",2740
"enjoy ",2738
"comes ",2737
"words ",2735
"mom ",2723
"sleep ",2710
"car ",2689
"summer ",2686
"books ",2674
"playing ",2659
"guess ",2652
"women ",2649
"havent ",2648
"writing ",2638
"talking ",2633
"needs ",2629
"bring ",2604
"however ",2598
"wrong ",2594
"phone ",2585
"seems ",2579
"hot ",2575
"feeling ",2574
"theyre ",2556
"often ",2550
"become ",2550
"leave ",2549
"along ",2533
"beer ",2527
"perfect ",2523
"add ",2487
"video ",2484
"half ",2481
"buy ",2476
"eat ",2474
"glad ",2474
"means ",2474
"heard ",2473
"couple ",2467
"month ",2466
"line ",2421
"case ",2414
"share ",2407
"lost ",2402
"young ",2400
"girls ",2397
"meet ",2396
"instead ",2393
"gets ",2391
"either ",2368
"welcome ",2368
"late ",2366
"reason ",2362
"important ",2357
"sweet ",2353
"hand ",2336
"crazy ",2331
"easy ",2329
"number ",2324
"write ",2324
"months ",2316
"list ",2312
"ya ",2310
"knew ",2305
"moment ",2291
"asked ",2282
"saying ",2280
"email ",2276
"experience ",2273
"yourself ",2273
"rather ",2270
"red ",2270
"group ",2264
"power ",2260
"special ",2258
"shes ",2255
"hour ",2251
"social ",2250
"wanna ",2247
"ur ",2246
"ones ",2242
"turn ",2241
"hell ",2234
"light ",2231
"problem ",2227
"goes ",2224
"wow ",2220
"question ",2219
"move ",2213
"film ",2213
"close ",2201
"public ",2199
"bed ",2191
"funny ",2190
"hair ",2188
"couldnt ",2187
"cause ",2179
"body ",2173
"cut ",2159
"interesting ",2158
"outside ",2158
"order ",2150
"event ",2148
"rest ",2147
"art ",2141
"felt ",2137
"wonderful ",2135
"ass ",2132
"men ",2126
"living ",2121
"running ",2120
"sounds ",2113
"sunday ",2105
"loved ",2099
"card ",2093
"plan ",2091
"decided ",2091
"games ",2085
"future ",2075
"learn ",2075
"eyes ",2075
"saturday ",2074
"seeing ",2062
"behind ",2061
"media ",2059
"local ",2058
"especially ",2041
"yesterday ",2040
"paper ",2033
"matter ",2032
"understand ",2028
"boy ",2026
"woman ",2026
"country ",2023
"christmas ",2006
"break ",2003
"send ",1997
"dinner ",1992
"n ",1977
"lots ",1975
"front ",1975
"project ",1973
"damn ",1970
"gone ",1956
"fuck ",1955
"office ",1955
"american ",1954
"facebook ",1949
"definitely ",1945
"b ",1942
"four ",1940
"walk ",1940
"series ",1939
"students ",1934
"youll ",1931
"short ",1929
"gave ",1924
"given ",1920
"waiting ",1917
"tv ",1909
"— ",1906
"pay ",1898
"chance ",1897
"picture ",1893
"meeting ",1887
"p ",1882
"super ",1882
"several ",1875
"online ",1872
"visit ",1870
"deal ",1869
"starting ",1859
"history ",1857
"page ",1854
"happen ",1853
"green ",1848
"company ",1845
"wants ",1844
"monday ",1841
"child ",1838
"needed ",1835
"fan ",1834
"mother ",1829
"fall ",1823
"store ",1819
"worth ",1815
"fans ",1810
"gotta ",1808
"lunch ",1801
"okay ",1801
"wouldnt ",1800
"pick ",1788
"single ",1788
"lives ",1788
"parents ",1784
"area ",1783
"trip ",1778
"street ",1778
"sense ",1776
"across ",1773
"looked ",1773
"john ",1771
"works ",1767
"tried ",1766
"forget ",1755
"community ",1747
"takes ",1745
"service ",1742
"huge ",1740
"giving ",1735
"possible ",1735
"taken ",1734
"town ",1733
"omg ",1728
"happened ",1724
"jesus ",1717
"luck ",1715
"r ",1712
"sound ",1706
"five ",1703
"followers ",1702
"inside ",1700
"wonder ",1695
"weather ",1694
"park ",1690
"sad ",1685
"coffee ",1685
"rock ",1679
"million ",1677
"seem ",1674
"congrats ",1672
"challenge ",1669
"death ",1666
"within ",1665
"government ",1665
"join ",1659
"national ",1659
"including ",1652
"seriously ",1650
"cute ",1648
"hi ",1644
"center ",1644
"voice ",1642
"mr ",1640
"spring ",1634
"boys ",1633
"church ",1627
"road ",1624
"cold ",1622
"la ",1621
"large ",1621
"college ",1619
"youve ",1618
"mine ",1615
"although ",1605
"totally ",1597
"shows ",1595
"simply ",1595
"law ",1590
"health ",1587
"son ",1583
"information ",1582
"busy ",1578
"longer ",1578
"above ",1577
"hold ",1575
"fine ",1567
"site ",1567
"listening ",1567
"available ",1566
"answer ",1564
"space ",1562
"dog ",1556
"final ",1553
"cannot ",1545
"spent ",1544
"usually ",1544
"door ",1542
"april ",1532
"finished ",1529
"stand ",1528
"system ",1527
"turned ",1525
"blue ",1524
"ha ",1524
"piece ",1504
"create ",1500
"human ",1499
"dream ",1499
"x ",1499
"exactly ",1494
"mothers ",1492
"met ",1488
"knows ",1486
"process ",1485
"cover ",1482
"text ",1482
"c ",1482
"strong ",1478
"drive ",1476
"dead ",1476
"pictures ",1473
"drink ",1471
"alone ",1468
"questions ",1465
"hands ",1462
"listen ",1461
"air ",1458
"band ",1449
"ideas ",1445
"south ",1444
"police ",1441
"known ",1438
"whether ",1437
"act ",1436
"age ",1436
"simple ",1429
"played ",1427
"arent ",1425
"tweets ",1424
"tired ",1423
"date ",1420
"perhaps ",1419
"spend ",1419
"ways ",1417
"website ",1412
"bar ",1409
"success ",1408
"due ",1408
"fight ",1403
"market ",1403
"middle ",1401
"dad ",1401
"shot ",1400
"completely ",1400
"whatever ",1399
"dark ",1397
"weve ",1394
"fast ",1393
"war ",1389
"sick ",1386
"dance ",1380
"personal ",1374
"attention ",1374
"save ",1371
"sent ",1370
"added ",1367
"o ",1364
"stories ",1361
"design ",1361
"anyway ",1356
"president ",1353
"fire ",1353
"worked ",1351
"rain ",1348
"etc ",1343
"sun ",1341
"entire ",1340
"learning ",1339
"missed ",1335
"clear ",1334
"step ",1329
"program ",1329
"aint ",1328
"interested ",1328
"die ",1325
"lovely ",1323
"truth ",1322
"wear ",1322
"thursday ",1322
"choice ",1321
"moving ",1320
"sitting ",1319
"sign ",1319
"agree ",1318
"chicago ",1316
"himself ",1315
"building ",1314
"color ",1314
"wife ",1313
"lord ",1310
"link ",1310
"form ",1306
"kid ",1306
"gift ",1305
"husband ",1302
"fucking ",1300
"near ",1300
"control ",1296
"issue ",1295
"k ",1295
"level ",1293
"states ",1292
"eating ",1289
"table ",1288
"themselves ",1287
"york ",1287
"based ",1287
"photos ",1287
"heat ",1286
"bitch ",1285
"bought ",1284
"wine ",1281
"dude ",1278
"club ",1273
"yall ",1270
"march ",1269
"proud ",1267
"character ",1265
"photo ",1261
"feels ",1260
"lead ",1260
"whos ",1259
"style ",1259
"recently ",1256
"upon ",1256
"learned ",1252
"beat ",1252
"heres ",1250
"record ",1247
"note ",1246
"thoughts ",1242
"continue ",1240
"safe ",1240
"members ",1238
"type ",1236
"sister ",1235
"speak ",1231
"won ",1229
"according ",1229
"brought ",1227
"west ",1225
"hello ",1224
"major ",1223
"round ",1221
"absolutely ",1220
"album ",1218
"cup ",1218
"complete ",1217
"account ",1215
"sit ",1212
"chocolate ",1212
"father ",1211
"written ",1208
"pain ",1207
"chicken ",1207
"san ",1203
"brother ",1201
"extra ",1201
"finish ",1197
"obama ",1196
"issues ",1195
"deep ",1192
"article ",1191
"action ",1191
"fresh ",1187
"happens ",1187
"energy ",1184
"enjoyed ",1177
"lady ",1177
"choose ",1176
"catch ",1175
"cream ",1175
"lmao ",1173
"mention ",1172
"cake ",1170
"tuesday ",1170
"box ",1167
"race ",1163
"certain ",1162
"board ",1160
"songs ",1160
"goal ",1160
"followed ",1159
"lose ",1158
"tickets ",1157
"till ",1157
"itself ",1156
"likely ",1155
"example ",1154
"star ",1154
"loves ",1154
"brown ",1153
"appreciate ",1151
"walking ",1151
"changed ",1151
"forever ",1151
"via ",1150
"starts ",1150
"view ",1148
"problems ",1147
"truly ",1146
"bro ",1144
"research ",1144
"america ",1137
"smile ",1136
"details ",1136
"quick ",1135
"trust ",1135
"general ",1135
"plus ",1132
"message ",1131
"evening ",1131
"ice ",1131
"price ",1130
"realize ",1129
"minute ",1127
"main ",1125
"plans ",1124
"north ",1124
"hopefully ",1123
"daughter ",1122
"dear ",1121
"offer ",1119
"earth ",1119
"lucky ",1118
"relationship ",1115
"bill ",1115
"low ",1114
"fear ",1114
"stupid ",1113
"watched ",1109
"wrote ",1109
"characters ",1108
"straight ",1107
"third ",1107
"sex ",1107
"track ",1106
"afternoon ",1106
"eye ",1104
"clean ",1103
"figure ",1103
"ball ",1100
"pass ",1100
"radio ",1097
"peace ",1095
"gives ",1094
"mark ",1093
"mad ",1093
"internet ",1092
"original ",1091
"nd ",1090
"wearing ",1090
"court ",1089
"events ",1088
"beginning ",1086
"difficult ",1086
"training ",1085
"conference ",1084
"university ",1081
"test ",1080
"sort ",1078
"warm ",1078
"library ",1078
"shop ",1078
"ah ",1078
"hurt ",1077
"opportunity ",1077
"cheese ",1075
"opening ",1074
"field ",1073
"ride ",1071
"cards ",1071
"poor ",1070
"mix ",1069
"oil ",1069
"serious ",1069
"imagine ",1068
"weird ",1068
"kept ",1067
"return ",1066
"touch ",1065
"points ",1063
"anymore ",1061
"among ",1058
"fit ",1057
"apparently ",1056
"places ",1056
"moved ",1056
"focus ",1055
"wall ",1052
"bout ",1049
"report ",1049
"telling ",1047
"info ",1047
"taste ",1042
"daily ",1042
"feet ",1041
"tour ",1041
"beyond ",1040
"todays ",1039
"study ",1036
"per ",1036
"vote ",1035
"wednesday ",1035
"jobs ",1034
"further ",1033
"began ",1033
"bowl ",1030
"present ",1029
"dress ",1029
"created ",1028
"begin ",1027
"loving ",1027
"beach ",1026
"born ",1025
"stage ",1025
"movies ",1024
"holiday ",1022
"practice ",1022
"grow ",1020
